#separator:Tab
#html:false
#deck:Arteterapie
#columns:Front	Back	Tags
#tags column:3
Případ 2 (Aspergerův sy F84.5, chlapec 12 let, vysokofunkční): čím se arteterapie liší od těžších forem PAS?	Vysoká verbální i kognitivní úroveň (intelekt i řeč v normě) → NEJVÍC PROSTORU PRO SYMBOL, PŘÍBĚH v obraze a REFLEXI nad dílem (blízko artefiletice) + EMOČNÍ GRAMOTNOST. U dětského/nízkofunkčního autismu se naopak zůstává na neverbální a senzomotorické úrovni. — Zdroj: arte Slavík/Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.87	pripad2 artefiletika definice
Případ 2: proč právě arteterapie a na co hlavně cílí? (bio·psycho·sociál)	BIO: jemná motorika (možná neobratnost), POZOR na senzorickou citlivost materiálů (nabídnout volbu media). PSYCHO: emoční gramotnost přes obraz + ventil ÚZKOSTI a obnova sebehodnocení po sociálním neúspěchu. SOCIÁL: bezpečný nácvik vztahů a sociální příběhy (jádrem je porucha sociálních vztahů). POZOR: arteterapie NELÉČÍ Aspergerův sy (vrozená neurovývojová porucha). — Zdroj: arte Šicková-Fabrici/Slavík ⚠️ ověřit; klinicky Vágnerová STR.84, 86–87	pripad2 arteterapie indikace
Jak vést arteterapii u Aspergerova syndromu — čím se vyznačuje?	Proces > produkt (u perfekcionisty tlak z výkonu výslovně brát). SYMBOL, PŘÍBĚH a REFLEXE nad dílem (artefiletika), ale konkrétně a explicitně. STRUKTURA a PŘEDVÍDATELNOST (vizuální rozvrh, stálý rituál). ULPÍVAVÝ ZÁJEM jako téma tvorby a most ke vztahům. NENUTIT interpretaci ani oční kontakt, bez ironie a metafor. — Zdroj: arte Slavík/Šicková-Fabrici/Liebmann ⚠️ ověřit; klinicky Vágnerová STR.86–87	pripad2 arteterapie principy-u-aspergera
Případ 2: jak v arteterapii rozvíjet EMOČNÍ GRAMOTNOST a čtení sociálních situací?	„Mapa pocitů” / barvy nálad = pojmenovat a zviditelnit emoce. SYMBOL prožitku (co cítím = jaký tvar/barva). SOCIÁLNÍ PŘÍBĚH v obrázcích (comic strip) = co druhý cítí a proč → trénink čtení situací. Obraz funguje jako vnější, méně ohrožující jazyk emocí tam, kde vázne sociální čtení. — Zdroj: arte Slavík/Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.87	pripad2 artefiletika emocni-gramotnost
Případ 2: který arteterapeutický přístup zvolit a jaké cíle?	PRODUKTIVNÍ i receptivní s ARTEFILETICKÝM přesahem (reflexe), nejdřív INDIVIDUÁLNĚ → strukturovaná SKUPINA, nedirektivní, proces-orientovaná, STRUKTUROVANÁ a předvídatelná. Cíle: emoční gramotnost, regulace úzkosti, nácvik sociálních dovedností přes obraz, obnova sebehodnocení. — Zdroj: arte Šicková-Fabrici/Slavík/Liebmann ⚠️ ověřit; cíle klinicky Vágnerová STR.86–87	pripad2 arteterapie volba-pristupu
Případ 2: čeho se v arteterapii VYVAROVAT?	Nehodnotit dílo esteticky a nesrovnávat (u perfekcionisty citlivé). NENUTIT interpretaci ani oční kontakt. Nepoužívat ironii a metafory (chápe doslovně). Neměnit náhle rituál a strukturu (úzkost/afekt). Nepřetěžovat senzoricky (lepkavé/studené/hlučné materiály). Nezaměňovat arteterapii za „výtvarku”. — Zdroj: arte Šicková-Fabrici/Slavík ⚠️ ověřit; klinicky Vágnerová STR.86–87	pripad2 arteterapie chyby
Návrh: cyklus jednoho arteterapeutického sezení u Aspergera?	1 Naladění (rituál) → 2 Volné rozkreslení → 3 Tvorba na téma → 4 REFLEXE nad dílem → 5 Ocenění procesu (↺). Oproti těžším formám PAS přibývá výrazný krok REFLEXE (vysoký intelekt to unese) — konkrétně, bez ironie, nenutit interpretaci. Stálý rituál + vizuální rozvrh = předvídatelnost. — Zdroj: arte struktura Slavík/Liebmann ⚠️ ověřit; stálost klinicky Vágnerová STR.86–87	pripad2 arteterapie-technika cyklus-sezeni
Návrh konkrétních technik pro případ 2 (od jednodušších po náročnější)?	Progrese: barvy nálad/mapa pocitů → symbol prožitku → téma oblíbeného (ulpívavého) zájmu → sociální příběh v obraze → skupinová tvorba + reflexe. Mapa pocitů = emoce; symbol = prožitek; zájem = motivace a sebevědomí; sociální příběh = čtení situací; skupina = nácvik vztahů. — Zdroj: Šicková-Fabrici / Slavík / Liebmann ⚠️ ověřit	pripad2 arteterapie-technika techniky
Případ 2 vs. 16/18 — jak se liší arteterapeutický plán napříč PAS? (zkušební past)	Případ 2 (Asperger, vysokofunkční) → MAXIMUM symbolu, reflexe a emoční gramotnosti, sociální příběhy. Případ 16 (dětský autismus + porucha řeči) → NEVERBÁLNÍ kanál, vizuální struktura, piktogramy, senzomotorika. Případ 18 (nízkofunkční + sluch. vnímání) → BAZÁLNÍ stimulace, materiál jako regulace, minimum abstrakce. Stejná diagnóza ‚spektrum', jiná funkční úroveň = jiný plán. — Zdroj: klinicky Vágnerová STR.85–87; arte ⚠️ ověřit	pripad2 klientská skupina srovnani-napric-pas
Případ 3 (ADHD + koktavost, 10 let): proč právě arteterapie? (bio·psycho·sociál)	BIO: pohyb v tvorbě jako účelné VYBITÍ energie (kterou dítě jinak nedovede uplatnit) + jemná/hrubá motorika a koordinace. PSYCHO: nácvik pozornosti a sebeovládání KROK PO KROKU, ventil afektu, zážitek úspěchu proti negativnímu sebepojetí. SOCIÁL: NEVERBÁLNÍ kanál bez tlaku na řeč (koktavost), přijetí navzdory rušivosti. POZOR: arteterapie NELÉČÍ ADHD (odchylka funkce CNS/LMD) — je podpůrná. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.43–45	pripad3 arteterapie indikace
Případ 3: které dělení arteterapie zvolit a proč nejdřív individuálně?	PRODUKTIVNÍ (vlastní tvorba), NEJPRVE INDIVIDUÁLNÍ → pak opatrně skupina, ve škole s artefiletickým přesahem. Individuálně proto, že dítě je „vázané na podněty” a snadno rušivé → potřebuje strukturu a klidné prostředí s méně podněty; skupinu zařadit až po nácviku čekání a sdílení. — Zdroj: arte Šicková-Fabrici/Liebmann ⚠️ ověřit; klinicky Vágnerová STR.44	pripad3 arteterapie deleni
Jak vést arteterapii u ADHD (čím se vyznačuje)?	KRÁTKÉ STRUKTUROVANÉ úkoly (jeden krok, jedna instrukce) — vyhovují slabé pozornosti a impulzivitě. POHYB v tvorbě + pauzy (kanalizace energie). Proces > produkt (oceňuje se dokončení a snaha). Předvídatelný RITUÁL a klidné prostředí bez rušivých podnětů. Neverbální sdílení bez tlaku na řeč. Nácvik sebeovládání po krocích („stop”, řízené tempo, čekání). — Zdroj: arte Šicková-Fabrici/Liebmann ⚠️ ověřit; klinicky Vágnerová STR.43–44	pripad3 arteterapie principy
Případ 3: který arteterapeutický přístup zvolit a jaké cíle?	Přístup: PRODUKTIVNÍ, nejprve individuální, NEDIREKTIVNÍ s PEVNOU STRUKTUROU, proces-orientovaný, krátké strukturované úkoly s pohybem. Cíle: KANALIZACE energie, nácvik POZORNOSTI a SEBEOVLÁDÁNÍ po krocích, jemná/hrubá motorika a koordinace, neverbální kanál bez tlaku na řeč, ochrana sebepojetí. — Zdroj: arte Šicková-Fabrici/Liebmann ⚠️ ověřit; cíle klinicky Vágnerová STR.44–45	pripad3 arteterapie volba-pristupu
Případ 3: čeho se v arteterapii VYVAROVAT?	Nevykládat projevy jako „nevychovanost”/lenost (porucha CNS, kterou dítě neovládá). Nepřetěžovat dlouhým mnohakrokovým zadáním. Netlačit na řeč, nedokončovat slova, nespěchat (tlak koktavost zhoršuje). Nehodnotit dílo esteticky a nesrovnávat se sestrou/vrstevníky. Nepracovat v přeplněném rušivém prostředí (vázanost na podněty). — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.44–45	pripad3 arteterapie chyby
Návrh: jak vypadá cyklus jednoho arteterapeutického sezení u ADHD?	1 Naladění (rituál) → 2 POHYBOVÁ rozcvička → 3 KRÁTKÝ strukturovaný úkol → 4 Neverbální sdílení → 5 Ocenění PROCESU a dokončení (↺ stále stejné pořadí). Stálé pořadí, krátké kroky, vložený pohyb, jedna instrukce po druhé. — Zdroj: arte struktura Liebmann ⚠️ ověřit; strukturace/ocenění klinicky Vágnerová STR.43–45	pripad3 arteterapie-technika cyklus-sezeni
Návrh konkrétních technik pro případ 3 (od jednoduchých po náročnější)?	Progrese: pohybové čmárání (velký formát vestoje) → otisky/haptika → jednoduchá malba → modelování (koordinace) → řízená koláž/komiks po krocích. Pohybové čmárání = vybití energie a hrubá motorika; modelování = jemná motorika a koordinace ruka–oko; „stop” technika = nácvik brzdění impulzu. — Zdroj: Šicková-Fabrici / Liebmann ⚠️ ověřit	pripad3 arteterapie-technika techniky
Případ 3: jak v arteterapii pracovat s koktavostí?	Nabídnout NEVERBÁLNÍ kanál (obraz, hmota) bez nároku na plynulost; sdílet nad dílem, ne mluvením. NETLAČIT, nedokončovat slova, NESPĚCHAT — tlak a spěch zadrhávání zhoršují. Klidné tempo a bezpečí. Propojit s logopedií. (koktavost rámcově Lechta) — Zdroj: arte Slavík/Šicková-Fabrici ⚠️ ověřit; koktavost Lechta ⚠️; klinicky Vágnerová STR.44	pripad3 arteterapie neverbalni-komunikace
Případ 3: jak odlišit ADHD od poruchy chování a MR (rozdíl regulace)?	ADHD: dítě chování NEDOKÁŽE OVLÁDAT (porucha aktivace + pozornosti, odchylka CNS) — arte cílí na REGULACI a kanalizaci energie. Porucha chování (11): normy CHÁPE, ale neakceptuje → jde o postoj k normě. Mentální retardace (1/19/22): snížený INTELEKT, senzomotorická úroveň; u ADHD je inteligence neporušená. PAS (2/16): jádro je sociální komunikace, ne regulace pozornosti. — Zdroj: klinicky Vágnerová STR.44; srovnání napříč kazuistikami	pripad3 klientská skupina diferenciace
Co je projekce v arteterapii a jak ji u ADHD interpretovat?	PROJEKCE = promítnutí vnitřního stavu a prožívání do díla; základ arteterapeutické DIAGNOSTIKY. U ADHD interpretovat OPATRNĚ — dílo bývá ovlivněné impulzivitou a unavitelností (povrchnost, nedokončenost), což je projev poruchy regulace, ne nezájmu; nepřeceňovat a vždy posuzovat v kontextu sebepojetí dítěte. — Zdroj: Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.44–45	pripad3 arteterapie-diagnostika projekce
Případ 4 (demence, žena 70 let, ischemicko-vaskulární typ): jaká je role arteterapie?	AKTIVIZACE a podpora ZACHOVANÝCH funkcí — NE léčba demence. Cíl: zpomalit úbytek, udržet kontakt a orientaci, zachovat důstojnost. Akcent na PROCES, ne výkon, a na krátké jednotky. POZOR: demence je ZÍSKANÝ, progredující a ireparabilní úbytek na organickém (cévním) podkladě → arteterapie nezvrátí, jen podpoří. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.72, 74–75	pripad4 arteterapie indikace
Co je reminiscence v arteterapii a proč je u demence (případ 4) klíčová?	REMINISCENCE = práce se vzpomínkami a STAROU pamětí skrze obraz, materiál, staré fotky, písně a předměty. U demence je vhodná, protože stará paměť zůstává zachována DÉLE než učení novému (to selhává jako první). Posiluje sebevědomí („co jsem dříve zvládla“) a identitu. — Zdroj: arte Šicková-Fabrici/Liebmann ⚠️ ověřit; stará paměť klinicky Vágnerová STR.72–74	pripad4 arteterapie reminiscence
Případ 4: proč arteterapie pomáhá (bio·psycho·sociál)?	BIO: smyslová stimulace a jemná motorika, mírná aktivace proti unavitelnosti. PSYCHO: reminiscence (stará paměť) + zážitek úspěchu proti apaticko-abulickému ladění a depresivním rozladám (zachovaný náhled na úbytek paměti). SOCIÁL: neverbální kontakt s terapeutem a skupinou proti izolaci, most k rodině (návštěvy známých působí podpůrně). — Zdroj: arte Šicková-Fabrici ⚠️; klinicky Vágnerová STR.74–76	pripad4 arteterapie bio-psycho-social
Jak vést arteterapii u demence (případ 4) — čím se vyznačuje?	Proces > produkt (nehodnotit esteticky). AKTIVIZACE, ne výkon — zpomalit úbytek, ne učit nové. REMINISCENČNÍ prvky (fotky, písně, předměty). SMYSLOVÁ stimulace (barva, dotek, materiál). KRÁTKÉ jednotky + stálý rituál a prostředí (změna zhoršuje dezorientaci). Bez konfrontace a nátlaku — nabízet, neopravovat realitu silou. — Zdroj: arte Šicková-Fabrici/Liebmann ⚠️ ověřit; klinicky Vágnerová STR.73–76	pripad4 arteterapie principy
Případ 4: který arteterapeutický přístup zvolit a jaké cíle?	Přístup: PRODUKTIVNÍ i RECEPTIVNÍ (vzpomínkové obrazy, hudba), individuální i SKUPINOVÁ, NEDIREKTIVNÍ, PROCES-orientovaná, silně STRUKTUROVANÁ s reminiscenčními prvky. Cíle: aktivizace zachovaných funkcí, podpora ORIENTACE, zpomalení úbytku, kontakt proti izolaci, důstojnost. — Zdroj: arte Šicková-Fabrici/Liebmann ⚠️ ověřit; cíle klinicky Vágnerová STR.75–76	pripad4 arteterapie volba-pristupu
Případ 4: čeho se v arteterapii VYVAROVAT?	Nehodnotit esteticky a nesrovnávat. Nepřetěžovat — nadměrný požadavek spouští výbuchy/obranu. Neměnit zbytečně rituál, materiál ani prostředí (změna zhoršuje dezorientaci). Nevyvracet logikou nesmyslné nápady ani netestovat paměť na nové věci. Nezaměňovat arteterapii za „výtvarku“ ani za pouhé vyplnění času. — Zdroj: arte Šicková-Fabrici ⚠️; klinicky Vágnerová STR.74–76	pripad4 arteterapie chyby
Návrh: cyklus jednoho arteterapeutického sezení u demence (případ 4)?	1 Známé naladění (rituál) → 2 Smyslová rozcvička → 3 Reminiscenční podnět (foto/píseň) → 4 Krátká tvorba → 5 Sdílení + ocenění PROCESU (↺ stále stejné pořadí). Stejný rituál a prostředí, krátké jednotky, jeden materiál — stálost snižuje dezorientaci. — Zdroj: arte struktura Liebmann ⚠️ ověřit; stálost klinicky Vágnerová STR.74–76	pripad4 arteterapie-technika cyklus-sezeni
Návrh konkrétních technik pro případ 4 (od jednoduchých po náročnější)?	Progrese: smyslová hra s barvou → otisky/haptika → malba ke vzpomínce → koláž ze starých fotek → společná skupinová tvorba. Smyslová hra = senzorická stimulace; reminiscenční malba/koláž = stará paměť a identita; modelování = jemná motorika; receptivní vnímání obrazů a hudby z mládí = zklidnění bez nároku na výkon. — Zdroj: Šicková-Fabrici / Liebmann ⚠️ ověřit	pripad4 arteterapie-technika techniky
Případ 4 vs 20: čím se liší arteterapie u dvou demencí?	Společný základ: aktivizace, reminiscence, smyslová stimulace, krátké jednotky, stálost. Případ 4 (ischemicko-vaskulární): akcent na ORIENTACI a zpomalení úbytku. Případ 20 (stařecká + BPSD): primárně ZKLIDNĚNÍ neklidu/agitace a snižování úzkosti, ještě více struktury a bezpečí, validace. — Zdroj: arte Šicková-Fabrici/Liebmann ⚠️; klinicky Vágnerová STR.73–76	pripad4 klientská skupina srovnani-demenci
Co je projekce v arteterapii a jak ji u demence (případ 4) interpretovat?	PROJEKCE = promítnutí vnitřního stavu do díla; základ arteterapeutické DIAGNOSTIKY. U demence interpretovat velmi ZDRŽENLIVĚ — kognitivní úbytek, bradypsychismus a riziko afázie zkreslují projev; nepřeceňovat symboliku, sledovat spíš kontakt, prožitek a zachované schopnosti. — Zdroj: Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.73	pripad4 arteterapie-diagnostika projekce
Případ 5 (stav po CMP + získaná afázie, muž 50 let): proč právě arteterapie?	Nabízí NEVERBÁLNÍ kanál komunikace tam, kde selhává řeč (afázie), a prostor pro ZPRACOVÁNÍ ZTRÁTY a změny identity u získaného postižení. Dále: rehabilitační podpora jemné motoriky, adaptace na hemiparézu. POZOR: arteterapie neléčí afázii (důsledek poškození mozku po CMP) — je podpůrná a rehabilitační. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.49, 53	pripad5 arteterapie indikace
Případ 5: proč je „vyhýbá se komunikaci“ klíč pro volbu arteterapie?	Vyhýbání NENÍ neochota ani nezájem — je to DŮSLEDEK afázie + obranný ÚNIK z frustrující situace (mluvení je namáhavé). Arteterapie obchází tlak na slovo: nabízí obraz, barvu a gesto jako náhradní řeč, takže komunikace probíhá bez frustrace z mluvení. — Zdroj: arte Šicková-Fabrici/Slavík ⚠️ ověřit; klinicky Vágnerová STR.49, 53	pripad5 arteterapie neverbalni-komunikace
Případ 5: proč arteterapie pomáhá (bio·psycho·sociál)?	BIO: podpora jemné motoriky v neurorehabilitaci + adaptace na hemiparézu (jednoruční techniky); největší zlepšení v prvních 6 měsících po CMP. PSYCHO: sebevyjádření bez slov a ventil frustrace, zpracování traumatu a změny identity (riziko deprese/úzkosti). SOCIÁL: neverbální kontakt proti izolaci, skupina po CMP (efekt similarity). — Zdroj: arte Šicková-Fabrici ⚠️; klinicky Vágnerová STR.49–50, 53	pripad5 arteterapie bio-psycho-social
Jak vést arteterapii u afázie po CMP (případ 5) — čím se vyznačuje?	NEVERBÁLNÍ komunikace na prvním místě (obraz, gesto, AAK místo tlaku na mluvení). BEZ tlaku a beze spěchu (spěch zvyšuje napětí a únik). Proces > produkt. RESPEKT k zachovanému intelektu (nemluvit „přes hlavu“ — afázie je porucha řeči, ne rozumu). ADAPTACE na hemiparézu (jednoruční techniky) a unavitelnost (krátké jednotky). Zpracování ztráty a identity. — Zdroj: arte Šicková-Fabrici/Slavík ⚠️ ověřit; klinicky Vágnerová STR.49–50, 53–54	pripad5 arteterapie principy
Případ 5: který arteterapeutický přístup zvolit a jaké cíle?	Přístup: PRODUKTIVNÍ, NEJDŘÍV INDIVIDUÁLNÍ (bezpečí), pak SKUPINA po CMP, NEDIREKTIVNÍ, PROCES-orientovaná, BEZTLAKOVÁ, adaptovaná na hemiparézu. Cíle: neverbální komunikace, zpracování ztráty a změny identity, snížení frustrace a úniku, podpora jemné motoriky. — Zdroj: arte Šicková-Fabrici/Liebmann ⚠️ ověřit; cíle klinicky Vágnerová STR.49–50, 53	pripad5 arteterapie volba-pristupu
Případ 5: čeho se v arteterapii VYVAROVAT?	Nespěchat a netlačit na verbální reakci (zvyšuje napětí a únik). Nehodnotit esteticky a nesrovnávat. Nevykládat mlčení jako „neochotu“. Nemluvit „přes hlavu“ jako s nesvéprávným (respektovat zachovaný intelekt). Nepřetěžovat (snížená odolnost k zátěži a unavitelnost). — Zdroj: arte Šicková-Fabrici ⚠️; klinicky Vágnerová STR.49–50, 53	pripad5 arteterapie chyby
Návrh: cyklus jednoho arteterapeutického sezení u afázie (případ 5)?	1 Bezpečí + čas (rituál) → 2 Nabídka kanálu (tvorba/AAK) → 3 Vlastní tvorba bez tlaku → 4 Neverbální sdílení → 5 Ocenění PROCESU (↺ stále stejné pořadí). Komunikaci a tvorbu stavět na úspěchu, ne na tlaku — každý zvládnutý kontakt snižuje vyhýbání. — Zdroj: arte struktura Šicková-Fabrici/Liebmann ⚠️ ověřit; princip Vágnerová STR.49–50	pripad5 arteterapie-technika cyklus-sezeni
Návrh konkrétních technik pro případ 5 (od jednoduchých po náročnější)?	Progrese: otisky/haptika (zdravá ruka) → volná stopa/ventil → malba „jak se cítím“ → koláž (méně motoriky) → skupinová tvorba po CMP. Tvorba „jak se cítím“ = neverbální sebevyjádření; jednoruční techniky = adaptace na hemiparézu; koláž = komunikace s nižšími nároky na motoriku; tvorba „před a teď“ = zpracování ztráty identity. — Zdroj: Šicková-Fabrici / Liebmann ⚠️ ověřit	pripad5 arteterapie-technika techniky
Případ 5 — afázie vs demence (případ 4) z pohledu arteterapie?	AFÁZIE (případ 5) = porucha JEDNÉ funkce (řeči), intelekt zachován → arteterapie staví na zachovaném rozumu a neverbální komunikaci, respektuje klienta jako svéprávného. DEMENCE (případ 4) = úpadek CELÉHO komplexu kognice → arteterapie cílí na aktivizaci, reminiscenci a zpomalení úbytku. Nezaměňovat přístup. — Zdroj: arte Šicková-Fabrici ⚠️; klinicky Vágnerová STR.49	pripad5 klientská skupina afazie-vs-demence
Co je projekce v arteterapii a jak ji u klienta po CMP (případ 5) využít?	PROJEKCE = promítnutí vnitřního stavu do díla; základ arteterapeutické DIAGNOSTIKY. U afázie je cenná dvojnásob — dílo zpřístupní prožívání (frustrace, ztráta, smutek) tam, kde klient nemůže mluvit. Interpretovat citlivě a ověřovat porozumění (neverbálně/AAK), respektovat zachovaný intelekt. — Zdroj: Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.49, 53	pripad5 arteterapie-diagnostika projekce
Případ 6 (epilepsie, žena 40 let, zhoršování ke grand mal): jaká je role arteterapie?	Zpracování ÚZKOSTI a STIGMATU, posílení sebepojetí a VENTIL napětí — NE léčba epilepsie (tu řeší neurologie/medikace). Akcent na proces a (díky zachovanému intelektu) na symbol a reflexi. KLÍČOVÉ: bezpečnost — pozor na fotosenzitivitu (blikání) a bezpečné nástroje; struktura a klid. Arteterapie nenahrazuje medikaci. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.46–47	pripad6 arteterapie indikace
Případ 6: jaká BEZPEČNOSTNÍ specifika má arteterapie u epilepsie?	1) FOTOSENZITIVITA — vyhnout se blikání, stroboskopu a blikajícím podnětům (mohou provokovat záchvat). 2) BEZPEČNÉ nástroje a materiály — riziko úrazu při grand mal (pád, křeče), tedy opatrně s ostrými/rozbitnými předměty. 3) Nepřetěžovat — přetížení a únava provokují záchvaty. 4) Klidné, strukturované, předvídatelné prostředí. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; riziko úrazu/zátěž klinicky Vágnerová STR.46–48	pripad6 arteterapie bezpecnost
Případ 6: proč arteterapie pomáhá (bio·psycho·sociál)?	BIO: klidná strukturovaná tvorba snižuje napětí; přiměřená zátěž (přetížení/spánkový deficit provokují záchvaty); bezpečnost (žádné blikání). PSYCHO: ventil úzkosti z nepředvídatelného záchvatu a bezmoci, prevence sekundární deprese, posílení sebepojetí. SOCIÁL: sdílení a destigmatizace ve skupině proti izolaci (epilepsie je nápadné, stigmatizující onemocnění). — Zdroj: arte Šicková-Fabrici/Slavík ⚠️; klinicky Vágnerová STR.46–48	pripad6 arteterapie bio-psycho-social
Jak vést arteterapii u epilepsie (případ 6) — čím se vyznačuje?	BEZPEČNOST na prvním místě (fotosenzitivita, bezpečné nástroje). VENTIL napětí a úzkosti tvorbou. Práce se SYMBOLEM a REFLEXÍ (intelekt zachován → plnohodnotný reflektivní dialog). STRUKTURA a klid, přiměřená zátěž (unavitelnost). Posílení sebepojetí a destigmatizace. Proces > produkt (nehodnotit esteticky). — Zdroj: arte Šicková-Fabrici/Slavík ⚠️ ověřit; klinicky Vágnerová STR.46–48	pripad6 arteterapie principy
Případ 6: který arteterapeutický přístup zvolit a jaké cíle?	Přístup: PRODUKTIVNÍ s REFLEXÍ (intelekt zachován), INDIVIDUÁLNÍ i SKUPINOVÁ, NEDIREKTIVNÍ, PROCES-orientovaná, STRUKTUROVANÁ, klidná a BEZPEČNÁ. Cíle: ventil úzkosti, zpracování stigmatu, posílení sebepojetí, prevence deprese, kontakt proti izolaci. Návaznost na neurologii (doplněk medikace). — Zdroj: arte Šicková-Fabrici/Slavík ⚠️ ověřit; cíle klinicky Vágnerová STR.46–47	pripad6 arteterapie volba-pristupu
