"Front","Back","Tags"
"KLÍČOVÉ ODLIŠENÍ: ADHD (případ 3) × porucha chování (případ 11)?","ADHD: dítě chování NEDOKÁŽE ovládat – jde o poruchu funkce CNS (aktivace + pozornost), ne o vzdor. Porucha chování: dítě normy CHÁPE, ale neakceptuje je nebo se jimi nedokáže řídit (jiná hodnotová hierarchie / postoj). Prolínají se (ADHD zvyšuje riziko poruch chování), ale NEJSOU totéž. — Zdroj: Vágnerová STR.44; kap.20 STR.149","pripad3 hyperaktivita/ADHD diferenciace"
"ADHD (případ 3) – čeho se VYVAROVAT?","Nevykládat projevy jako lenost/nevychovanost (je to CNS, dítě to neovládá). Nepřetěžovat dlouhými úkoly (rychlé přesycení a únava). Nezahrnovat nadměrnou kritikou (sekundární zátěž → fixuje negativní sebepojetí). U koktavosti NETLAČIT, nedokončovat slova, nespěchat (tlak zadrhávání zhoršuje). Nesrovnávat se sestrou/vrstevníky. — Zdroj: Vágnerová STR.44–45; Lechta ⚠️","pripad3 hyperaktivita/ADHD terapie-vyvarovat-se"
"ADHD (případ 3) – na čem PRACOVAT?","Strukturované, předvídatelné prostředí, jasná pravidla, kratší úkoly s pohybovými pauzami. Asistent pedagoga (udržení pozornosti, dokončování úkolů). Pozitivní zpětná vazba a ocenění (chrání sebepojetí). Logopedie na koktavost (klidné tempo, technika řeči). Nácvik jemné motoriky/grafomotoriky. Spolupráce s rodinou (matka dohlíží na přípravu). — Zdroj: Vágnerová STR.44–45; Jucovičová/Žáčková, Lechta ⚠️","pripad3 hyperaktivita/ADHD terapie-pracovat-na"
"Případ 3: s kým / čím propojit (organizace, odborníci v ČR)?","PPP (diagnostika ADHD/SPU, podpůrná opatření, IVP), SPC (podpora ve vzdělávání, asistent pedagoga), klinický logoped (koktavost), dětský psychiatr/neurolog (dg. ADHD, případná medikace), ergoterapeut/fyzioterapeut (koordinace, jemná motorika). — Zdroj: bibliografie.md ⚠️ ověřit aktuálnost","pripad3 organizace organizace"
"Co je demence a v čem je klíčový rozdíl oproti mentální retardaci?","Demence = syndrom úbytku komplexu kognitivních funkcí (hlavně inteligence a paměti) — ZTRÁTA již rozvinutých funkcí. Je to ZÍSKANÉ postižení (vzniká po dosažení určitého stupně vývoje, dg. až po 2. roce života) na organickém podkladě CNS. MR je naopak VROZENÁ od počátku vývoje. Demence postihuje ~5 % populace nad 65 let. — Zdroj: Vágnerová kap.9, STR.72","pripad4 gerontopedie definice-diferenciace"
"Typy demencí podle Vágnerové?","1) Atroficko-degenerativní (Alzheimerova choroba) — nejčastější, plíživý začátek. 2) Ischemicko-vaskulární (dříve arteriosklerotická) — patologie mozkových cév, mozkové infarkty, náhlý/stupňovitý průběh. 3) Symptomatické/sekundární (infekce, úraz, otrava). + smíšená (degenerativní + cévní). — Zdroj: Vágnerová STR.73; Pidrman ⚠️","pripad4 gerontopedie typy-klasifikace"
"Případ 4: proč pravděpodobně ischemicko-vaskulární demence?","Žena 70 let s HYPERTENZÍ — vysoký krevní tlak je rizikový faktor patologie mozkových cév a mozkových infarktů. Cévní demence začíná obvykle po 60. roce, často náhle po cévní mozkové příhodě, průběh je stupňovitý (kolísavý). Odlišit od plíživého začátku Alzheimerovy choroby. — Zdroj: Vágnerová STR.74","pripad4 gerontopedie kontext-pripadu"
"Obecná diagnostická kritéria / projevy demence?","Úbytek paměti (nejdřív učení novému, pak i staré vzpomínky), úbytek dalších kognitivních funkcí (bradypsychismus, ztráta logiky a plánování), poruchy vnímání (gnostické), apraxie (neumí užít nástroj), poruchy řeči (afázie, ulpívání), poruchy emotivity, poruchy motivace (apaticko-abulický sy), poruchy spánku. Postupně dezorientace a degradace osobnosti. — Zdroj: Vágnerová STR.72–73","pripad4 gerontopedie projevy"
"Případ 4: obtížná orientace v prostoru — jak to vyložit?","Porucha orientace v prostoru je KOGNITIVNÍ příznak demence (souvisí s úpadkem paměti) — nemocný bloudí i ve známém prostředí, neví kde je. NENÍ to neochota. Nový pobyt v domově pro seniory (změna prostředí) dezorientaci ZHORŠUJE. Pomoc: stabilní známé prostředí + orientační opory (značení, hodiny, kalendář). — Zdroj: Vágnerová STR.73, 75","pripad4 gerontopedie kontext-pripadu"
"Hlavní příčina (etiologie) demence — bio/psycho/sociál?","BIO = hlavní: organické poškození CNS (cévní poškození mozku / neurodegenerace; u případu 4 hypertenze → cévní infarkty). PSYCHO a SOCIÁL = modifikátory průběhu (změna prostředí, ztráta opor zhoršují dezorientaci). SPIRITUÁL ⚠️ = jen rozměr důstojnosti a péče, NE etiologie. — Zdroj: Vágnerová STR.72–74","pripad4 gerontopedie etiologie"
"Demence — čeho se VYVAROVAT v péči?","Nepřetěžovat (nadměrný požadavek spouští výbuchy). Zbytečně neměnit prostředí, režim a personál (zhoršuje dezorientaci). Neargumentovat logikou a nevyvracet nesmyslné nápady silou. Neredukovat návštěvy blízkých ('stejně nás nepozná'). Nepřičítat vinu nemocnému za jeho chování. — Zdroj: Vágnerová STR.74–76","pripad4 gerontopedie terapie-vyvarovat-se"
"Demence — na čem PRACOVAT v péči?","Stabilní, známé a bezpečné prostředí + pravidelný režim a stereotyp. Orientační opory (značení, hodiny, jmenovky). Návštěvy známých lidí (působí podpůrně i v ústavu). U případu 4: léčba hypertenze a prevence dalších CMP (zdravotnictví). Přiměřená aktivizace pro pocit užitečnosti proti apatii a depresi. — Zdroj: Vágnerová STR.74–76; Jirák/Holmerová ⚠️","pripad4 gerontopedie terapie-pracovat-na"
"Případ 4: s kým / čím propojit (organizace, odborníci v ČR)?","Domov pro seniory / domov se zvláštním režimem, neurolog/geriatr (dg. typu demence, léčba hypertenze, prevence CMP), praktický lékař (sledování TK), Česká alzheimerovská společnost (ČALS), sociální odbor / příspěvek na péči. ⚠️ ověřit aktuálnost. — Zdroj: bibliografie.md ⚠️ ověřit","pripad4 organizace propojeni"
"Co je afázie a v čem se liší od vrozené vady řeči?","Afázie = ZÍSKANÁ ztráta již rozvinuté schopnosti verbálního vyjadřování a/nebo porozumění řeči po poškození mozku (zde po CMP). Vágnerová ji řadí mezi fatické poruchy (poruchy řeči) při poškození mozku. Na rozdíl od vrozené vady řeči u MR jde o ztrátu dříve fungující řeči. — Zdroj: Vágnerová kap.7.4, STR.49","pripad5 logopedie definice"
"Typy afázie (orientačně)?","Motorická (expresivní, „Brocova"") — vázne tvorba/plynulost řeči, porozumění zachováno. Senzorická (receptivní, „Wernickeova"") — narušeno porozumění, mluví plynně s chybami. Globální (totální) — vázne tvorba i porozumění. Konkrétní typ určuje logoped/neurolog dle lokalizace. — Zdroj: Vágnerová STR.47,49; Neubauer ⚠️","pripad5 logopedie typy-klasifikace"
"Jak se projevuje stav po poškození mozku (kromě afázie)?","Poruchy kognice (pozornost = typický znak, paměť, zpracování informací, zpomalení a snížená pružnost myšlení). Emoce: útlum/apatie nebo dráždivost a labilita; úzkost a deprese jako reakce na uvědomovanou ztrátu. Chování: snížená odolnost k zátěži, unavitelnost, ulpívání. Největší zlepšení v prvních 6 měsících. — Zdroj: Vágnerová STR.49–50","pripad5 somatopedie projevy"
"Etiologie afázie u případu 5 — bio/psycho/sociál?","BIO = hlavní: získané poškození mozkové tkáně po CMP (lokalizace v Brocově oblasti postihuje verbální projev). PSYCHO = modifikátor: emoční změna, deprese/úzkost jako reakce na ztrátu. SOCIÁL = modifikátor: získané postižení v dospělosti → nová identita, vliv rodiny. SPIRITUÁL ⚠️ = jen rozměr trpělivosti a péče, ne etiologie. — Zdroj: Vágnerová STR.47–50,53–54","pripad5 somatopedie etiologie"
"Případ 5: proč se muž vyhýbá komunikaci? (klíčové odlišení)","Vyhýbání je DŮSLEDEK afázie + psychická reakce (únik z frustrující, namáhavé situace mluvení) — NE neochota nebo nezájem. Pozor odlišit: afázie ≠ demence (afázie postihuje jednu funkci, intelekt může být zachován), afázie ≠ deprese (u afázie selhává sám jazykový aparát, i kdyby chtěl, vázne to). — Zdroj: Vágnerová STR.49,53","pripad5 logopedie diferenciace-kontext-pripadu"
"Afázie po CMP — čeho se VYVAROVAT?","Nespěchat a netlačit na rychlou odpověď (zvyšuje napětí a únik). Nepřetěžovat (snížená odolnost, unavitelnost). Nevykládat mlčení jako „neochotu"" či „nezájem"". Nemluvit na člověka jako na nesvéprávného (zachovaný intelekt respektovat). Nevzdat komunikaci úplně (rezignace prohlubuje izolaci). — Zdroj: Vágnerová STR.49–50,53","pripad5 logopedie terapie-vyvarovat-se"
"Afázie po CMP — na čem PRACOVAT?","Logopedická reedukace afázie. AAK (obrázkové karty, komunikační tabulky, gesta) jako most, dokud se řeč obnovuje. Trpělivost a čas, krátké jednoznačné věty, ověřovat porozumění. Včasná soustavná neurorehabilitace (největší zlepšení v prvních 6 měsících). Podpora při depresi/úzkosti. Zapojení rodiny. — Zdroj: Vágnerová STR.49–50; Neubauer ⚠️","pripad5 logopedie terapie-pracovat-na"
"Případ 5: vrozené × získané a časové okno rehabilitace?","Afázie po CMP je ZÍSKANÁ ztráta dříve rozvinuté řeči (kontrast s vývojovou vadou u MR). Jako člověk se získaným postižením se stále považuje za součást normální společnosti. Časové okno: největší zlepšení v prvních 6 měsících po poranění → s reedukací nečekat. — Zdroj: Vágnerová STR.50,53–54","pripad5 somatopedie kontext-pripadu"
"Případ 5: s kým / čím propojit (organizace, odborníci v ČR)?","Klinický logoped (reedukace afázie, AAK), neurolog (léčba a prevence recidivy CMP), denní stacionář + fyzioterapie (komplexní rehabilitace), CEREBRUM (po poškození mozku), klinický psycholog (deprese, změna identity), sociální odbor / příspěvek na péči. ⚠️ ověřit aktuálnost. — Zdroj: bibliografie.md ⚠️ ověřit","pripad5 organizace propojeni"
"Co je epilepsie (definice dle Vágnerové)?","Vesměs chronické postižení mozkové tkáně, které se projevuje opakovanými záchvaty různého charakteru, spojenými se změnou v prožívání, chování a často s poruchami vědomí. Z psychologického hlediska je to symptomový komplex (heterogenní skupina) — neexistuje jeden typický osobnostní profil. Opakovanými záchvaty trpí ~0,5 % dospělých. — Zdroj: Vágnerová kap.7.3, STR.46","pripad6 somatopedie definice"
"Dělení epileptických záchvatů + malé × velké?","1) Generalizované — výboj se šíří po celém mozku, VŽDY porucha vědomí + motorická dysfunkce (sem patří grand mal = velký tonicko-klonický i absence/petit mal = „malé"" záchvaty). 2) Parciální (ložiskové) — vznikají v ohraničeném ložisku, porucha vědomí nebývá velká, příznaky dle lokalizace. Malý záchvat = absence/petit mal × velký = grand mal. — Zdroj: Vágnerová STR.46","pripad6 somatopedie klasifikace-typy"
"Jak se epilepsie projevuje (záchvaty + psychika)?","Opakované záchvaty (zde malé 3–4× týdně, nově grand mal). Po záchvatu únava, ospalost, někdy amnézie. Změny aktivační úrovně (dráždivost/hyperaktivita × útlum/bradypsychismus), zvýšená unavitelnost, nižší tolerance k zátěži, obtíže pozornosti a paměti, ulpívání myšlení. Možná dráždivost, labilita, výbušnost nebo mrzutá nálada. — Zdroj: Vágnerová STR.46–47","pripad6 somatopedie projevy"
"Etiologie epilepsie — bio/psycho/sociál?","BIO = hlavní: epileptická aktivita mozku (výboje); vrozená dispozice = základ + zevní vlivy; symptomatická epilepsie = důsledek jiného poškození mozku. Platí: čím dříve vznikla a čím častější záchvaty, tím větší riziko změn. PSYCHO = modifikátor (úzkost, bezmoc, deprese sekundárně). SOCIÁL = stigma. SPIRITUÁL ⚠️ = jen rozměr přijetí, ne etiologie. — Zdroj: Vágnerová STR.46–47","pripad6 somatopedie etiologie"
"Případ 6: co znamená přibývání záchvatů grand mal? (klíč)","Přibývající grand mal = signál ZHORŠOVÁNÍ → nutná úprava medikace a přehodnocení režimu, ne pasivní čekání (neléčená/nedostatečně kontrolovaná epilepsie se historicky zhoršovala). Vynechání léků podstatně zvyšuje riziko záchvatu a progresi nemoci. — Zdroj: Vágnerová STR.46,48","pripad6 somatopedie kontext-pripadu"
"Epilepsie × mentální retardace/demence — častá záměna?","Nemocní epilepsií mají VĚTŠINOU NORMÁLNÍ inteligenci — výraznější porucha rozumu je výjimka. Epileptická demence (úbytek inteligence) je vzácná, jen u závažné, dlouhotrvající epilepsie. Uzavřenost/deprese bývá SEKUNDÁRNÍ reakcí na nemoc a stigma, ne „povaha epileptika"". — Zdroj: Vágnerová STR.47","pripad6 somatopedie diferenciace"
"Epilepsie — čeho se VYVAROVAT v péči?","Nevynechávat léky (vynechání zvyšuje riziko záchvatu a progresi). Nepřetěžovat (snížená tolerance, unavitelnost; přetížení a spánkový deficit provokují záchvaty). Nepřičítat negativní vlastnosti a vinu (stigma neurotizuje). Nepodporovat izolaci, ale ani nezlehčovat zhoršování (grand mal). Nezaměnit ulpívání za „neochotu"". — Zdroj: Vágnerová STR.46–48","pripad6 somatopedie terapie-vyvarovat-se"
"Epilepsie — na čem PRACOVAT v péči?","Spolehlivá medikace + její úprava při zhoršování. Životospráva (pravidelný spánek, vyhýbání spouštěčům) a bezpečné prostředí (riziko úrazu při grand mal). Přiměřená zátěž s ohledem na unavitelnost. Psychická podpora (úzkost ze záchvatu, prevence deprese, destigmatizace). Edukace okolí (první pomoc při záchvatu). — Zdroj: Vágnerová STR.46–48; Pipeková ⚠️","pripad6 somatopedie terapie-pracovat-na"
"Případ 6: s kým / čím propojit (organizace, odborníci v ČR)?","Neurolog / epileptolog (dg., nastavení a úprava antiepileptické medikace), Společnost „E"" / EpiStop (osvěta, destigmatizace), klinický psycholog (úzkost, deprese), praktický lékař, sociální odbor / zaměstnavatel (úprava podmínek, bezpečnost). ⚠️ ověřit aktuálnost. — Zdroj: bibliografie.md ⚠️ ověřit","pripad6 organizace propojeni"
"Jaký je nejzávažnější handicap sluchového postižení a klíčová hranice?","Nejzávažnějším sekundárním handicapem je KOMUNIKAČNÍ BARIÉRA (porucha rozvoje mluvené řeči — porozumění i aktivní projev). Hranice přijatelné sluchové funkce nezbytné pro osvojení mluvené řeči je v pásmu STŘEDNĚ TĚŽKÉ NEDOSLÝCHAVOSTI (60–70 dB). Sluchové postižení vede k podnětové deprivaci. — Zdroj: Vágnerová kap.8.5, STR.67","pripad7 surdopedie definice"
"Jaké dva jazykové systémy mohou sluchově postižení užívat?","1) Znakový jazyk — využívá zrakové vnímání, má vlastní gramatiku (jiný slovosled, neskloňuje), výhodný hlavně pro prelingválně postižené, ale činí z nich minoritu. 2) Artikulovaná (orální) řeč — využívá zbytky sluchu a odezírání; výuka je velmi obtížná. Důležité: prelingvální (před osvojením řeči) × postlingvální (po něm) vada. — Zdroj: Vágnerová STR.67–68","pripad7 surdopedie klasifikace-komunikace"
"Jak se sluchové postižení projevuje v řeči a poznávání?","Omezená slovní zásoba, nepřesné používání a záměny slov, hlavně potíže s významem slov v kontextu. Gramatika: nesprávné tvary, nedodržení slovosledu, zjednodušený projev. Čtení/psaní: mechanické čtení bez pochopení smyslu. Myšlení vázané na konkrétní realitu (obtížná abstrakce). Nutná zvýšená koncentrace → únava. — Zdroj: Vágnerová STR.68–69","pripad7 surdopedie projevy"
"Etiologie u případu 7 — bio/psycho/sociál?","BIO = hlavní: porucha sluchového analyzátoru → podnětová deprivace, omezený přísun řečových podnětů → chudá slovní zásoba. PSYCHO = modifikátor: komunikace je trvalý stres (zvýšená koncentrace, nejistota) → úzkost, zkratkovité reakce. SOCIÁL = modifikátor: nepříznivé reakce okolí, izolace. SPIRITUÁL ⚠️ = respekt k odlišné komunikaci, ne etiologie. — Zdroj: Vágnerová STR.67–69","pripad7 surdopedie etiologie"
"Případ 7: NEJDŮLEŽITĚJŠÍ odlišení — chudá slovní zásoba?","Chudá slovní zásoba a neznalost pojmů jsou DŮSLEDKEM sluchové vady (vázne přísun a kontrola řeči), NE projevem mentální retardace! Intelekt je v normě. U MR je postižena celá kognice; zde je problém jen přístup k jazyku. Také odlišit od vývojové dysfázie (porucha řeči při zachovaném sluchu). — Zdroj: Vágnerová STR.67–68","pripad7 surdopedie diferenciace-kontext-pripadu"
"Surdopedie — čeho se VYVAROVAT?","Nezaměňovat chudou slovní zásobu za sníženou inteligenci (nesnižovat nároky „jako u MR""). Nemluvit zády/rychle/bez zrakového kontaktu (znemožní odezírání). Nespěchat a neopakovat stejnými dlouhými větami (radši přeformulovat krátce). Nevykládat impulzivní reakce jako „drzost"" (je to nezvládnutá zátěž). Nenechat dítě izolované bez podpory. — Zdroj: Vágnerová STR.67–69","pripad7 surdopedie terapie-vyvarovat-se"
"Surdopedie — na čem PRACOVAT?","Cílený rozvoj slovní zásoby a významů slov (vč. významu v kontextu). Vizuální komunikace — zrakový kontakt, odezírání, podpora obrázky/textem, dle potřeby znakový jazyk. Pravidla pro slyšící: pomalá zřetelná artikulace, čelem k dítěti, krátké jednoznačné věty, ověřovat porozumění. Sluchadla / kochleární implantát. Asistentka + IVP se SPC. — Zdroj: Vágnerová STR.68; Horáková ⚠️","pripad7 surdopedie terapie-pracovat-na"
"Případ 7: jak číst impulzivní reakce a roli komunikace?","Pro sluchově postiženého je i běžná komunikace STRESEM (nutnost zvýšené koncentrace, nejistota v porozumění). Napětí zvyšuje úzkost a sklon k afektivním/zkratkovým reakcím — výraz nezvládnuté zátěžové situace, ne „zlobení"". Mimika a pantomimika jsou pro něj důležitým komunikačním kanálem. — Zdroj: Vágnerová STR.68–69","pripad7 surdopedie kontext-pripadu"
"Případ 7: s kým / čím propojit (organizace, odborníci v ČR)?","SPC pro sluchově postižené (už v péči — dg., IVP, asistent pedagoga), foniatr/audiolog (sluchadla, kochleární implantát), klinický logoped/surdoped (rozvoj řeči), Centrum pro dětský sluch Tamtam (raná péče, poradenství), Česká unie neslyšících / SNN ČR (komunita, znakový jazyk). ⚠️ ověřit aktuálnost. — Zdroj: bibliografie.md ⚠️ ověřit","pripad7 organizace propojeni"
"Co je dětská mozková obrna (DMO) a jaká je její hlavní příčina?","VROZENÉ (resp. raně získané) postižení s hlavním příznakem poruchy MOTORIKY — postižení volních pohybů. Příčinou je prenatální, perinatální nebo postnatální poškození CNS, které se projeví do 5. roku života (např. asfyxie). Postihuje 0,1–2 % dětí. Bývá často kombinována s dalšími poruchami (zrak, sluch, řeč, intelekt, epilepsie). — Zdroj: Vágnerová kap.7.1, STR.41","pripad8 somatopedie definice"
"Formy DMO a co je kvadruparéza?","Spastická/hypertonická (70 %, zvýšené napětí) · hypotonická (přechodná) · atetoidní/dyskinetická (~20 %, mimovolní kroutivé pohyby) · mozečková (~10 %, porucha koordinace). Kvadruparéza/kvadruplegie = postižení VŠECH ČTYŘ končetin; bývá postižena i hybnost mluvidel (→ dysartrie) a častěji kombinována s poruchou inteligence. — Zdroj: Vágnerová STR.41","pripad8 somatopedie formy"
